k,eps,Option1,Option2,c,h_0,h_s,h(20),t_0,tvconv,thconv,||v(tvconv)-vs||_\infty,||v(Nt)-vs||_\infty,|h(thconv)-h_s|,Elapsed_time,Nx,rel err h(tconv),rel err h(Nt),Err h(Nt)
2,0.1,4,2,0.1,0.01916,0.388,0.389664313,0.02,1.918100144,2.117900257,0.008565659,0.003166377,0.009032229,1342.974233,161,0.023278941,0.005578127,0.002164313
2,0.5,4,2,0.1,0.019,0.388,0.389664313,0.02,2.117900138,2.317700812,0.008440709,0.003166377,0.008861188,268.6920802,161,0.022838113,0.005578127,0.002164313
2,1,4,2,0.1,0.0188,0.388,0.389664313,0.02,2.317702703,2.517501603,0.009091919,0.003166377,0.009412631,342.0588772,161,0.024259358,0.005578127,0.002164313
10,0.1,4,2,0.1,0.014862385,0.536,0.538885023,0.001834862,0.601780136,1.601688382,0.005766721,0.013926963,0.009583957,575.0875785,161,0.017880517,0.006315341,0.003385023
10,0.5,4,2,0.1,0.011172414,0.536,0.538885023,0.00137931,0.601339574,1.801257569,0.009344852,0.013926963,0.00840963,137.3473295,161,0.015689609,0.006315341,0.003385023
10,1,4,2,0.1,0.008526316,0.536,0.538885023,0.001052632,0.701017205,2.000950175,0.008620213,0.013926963,0.008184574,85.7884633,161,0.015269727,0.006315341,0.003385023
20,0.1,4,2,0.1,0.007808219,0.544,0.547577423,0.000456621,0.30044978,1.600420172,0.003459168,0.020943202,0.008828324,575.8037011,161,0.016228537,0.006805924,0.003702423
20,0.5,4,2,0.1,0.00579661,0.544,0.547577423,0.000338983,0.300335191,1.700310207,0.00666683,0.020943202,0.009691391,158.0909256,161,0.017815057,0.006805924,0.003702423
20,1,4,2,0.1,0.004384615,0.544,0.547577423,0.00025641,0.400251957,1.900233966,0.008803891,0.020943202,0.009182379,82.2997974,161,0.016879374,0.006805924,0.003702423
2,0.1,3,2,0.4,0.01916,0.425,0.42772164,0.02,2.117900012,2.517500317,0.009350959,0.003402884,0.008795628,1305.395343,161,0.020695595,0.00640386,0.002721641
2,0.5,3,2,0.4,0.019,0.425,0.42772164,0.02,2.317701591,2.717301679,0.009700857,0.003402884,0.009325569,411.2705923,161,0.021942515,0.00640386,0.002721641
2,1,3,2,0.4,0.0188,0.425,0.42772164,0.02,2.617403024,3.017001251,0.009413914,0.003402884,0.009304594,261.3066275,161,0.021893163,0.006403859,0.00272164
10,0.1,3,2,0.4,0.014862385,0.657,0.6617382,0.001834862,0.801761684,2.201633375,0.00854115,0.008561217,0.008232092,414.330991,161,0.01252982,0.007211873,0.004738201
10,0.5,3,2,0.4,0.011172414,0.657,0.661738201,0.00137931,0.901319001,2.40121557,0.008975935,0.008561217,0.008824095,110.2837513,161,0.01343089,0.007211873,0.004738201
10,1,3,2,0.4,0.008526316,0.657,0.6617382,0.001052632,1.100999451,2.70091856,0.00803822,0.008561217,0.008758347,67.2423548,161,0.013330817,0.007211873,0.004738201
20,0.1,3,2,0.4,0.007808219,0.679,0.684277452,0.000456621,0.50044569,2.100408968,0.006107786,0.009712872,0.009653038,398.9101109,161,0.014216551,0.0074042,0.005027452
20,0.5,3,2,0.4,0.00579661,0.679,0.684277452,0.000338983,0.500330871,2.400301625,0.009261325,0.009712872,0.008289698,107.5434827,161,0.012208686,0.0074042,0.005027452
20,1,3,2,0.4,0.004384615,0.679,0.684277452,0.00025641,0.800248031,2.600231716,0.008324695,0.009712872,0.009785864,68.2639455,161,0.014412171,0.0074042,0.005027452
2,0.1,2,2,0.7,0.01916,0.463,0.465540251,0.02,2.417600146,2.917100337,0.008741712,0.003339686,0.008912735,1044.788058,161,0.019249968,0.006566416,0.003040251
2,0.5,2,2,0.7,0.019,0.463,0.46554025,0.02,2.617400066,3.216801701,0.00956283,0.003339685,0.008810456,232.4008175,161,0.019029064,0.006566415,0.00304025
2,1,2,2,0.7,0.0188,0.463,0.465540243,0.02,2.917101831,3.516501633,0.009863914,0.003339681,0.009563439,209.5915524,161,0.020655376,0.0065664,0.003040243
10,0.1,2,2,0.7,0.014862385,0.779,0.783925026,0.001834862,1.001743698,2.701588063,0.009412036,0.006651286,0.009674074,867.9037129,161,0.01241858,0.00696409,0.005425026
10,0.5,2,2,0.7,0.011172414,0.779,0.783925026,0.00137931,1.201299792,3.101167687,0.00852058,0.006651286,0.008553552,254.6569384,161,0.01098017,0.00696409,0.005425026
10,1,2,2,0.7,0.008526316,0.779,0.78392502,0.001052632,1.400983732,3.500869075,0.009484801,0.006651286,0.008872562,176.7052637,161,0.011389682,0.006964082,0.00542502
20,0.1,2,2,0.7,0.007808219,0.815,0.820352945,0.000456621,0.600443606,2.700396078,0.008674602,0.007139239,0.009314772,874.3992833,161,0.011429168,0.007028153,0.005727945
20,0.5,2,2,0.7,0.00579661,0.815,0.820352944,0.000338983,0.700327253,3.000293763,0.009937166,0.007139239,0.009700885,236.877267,161,0.011902926,0.007028153,0.005727945
20,1,2,2,0.7,0.004384615,0.815,0.820352939,0.00025641,1.100246886,3.400223928,0.008930254,0.007139238,0.009854943,164.4224604,161,0.012091955,0.007028145,0.005727938
2,0.1,1,2,1,0.01916,0.5,0.503144653,0.02,2.617400284,3.316700039,0.009651702,0.003144653,0.009309071,1546.880873,161,0.018618142,0.006289306,0.003144653
2,0.5,1,2,1,0.019,0.5,0.503144645,0.02,2.917101158,3.616400931,0.009583304,0.003144649,0.009801393,215.1072734,161,0.019602786,0.00628929,0.003144645
2,1,1,2,1,0.0188,0.5,0.503144589,0.02,3.316701085,4.115903872,0.00930063,0.003144619,0.009117667,178.3340509,161,0.018235334,0.006289178,0.003144589
10,0.1,1,2,1,0.014862385,0.9,0.905660376,0.001834862,1.201725671,3.301532324,0.009776526,0.005660377,0.009958747,336.4711318,161,0.011065275,0.006289306,0.005660375
10,0.5,1,2,1,0.011172414,0.9,0.905660362,0.00137931,1.40128358,3.801124417,0.00976197,0.005660376,0.009048244,209.0331848,161,0.010053604,0.006289291,0.005660362
10,1,1,2,1,0.008526316,0.9,0.905660234,0.001052632,1.800957895,4.300830382,0.008965272,0.005660361,0.009722505,150.2455361,161,0.010802783,0.006289149,0.005660234
20,0.1,1,2,1,0.007808219,0.95,0.955974841,0.000456621,0.700440932,3.300381398,0.009925872,0.005974843,0.009731519,630.6572981,161,0.010243704,0.006289306,0.005974841
20,0.5,1,2,1,0.00579661,0.95,0.955974827,0.000338983,0.900326072,3.800282028,0.009979371,0.005974842,0.008828124,208.172656,161,0.009292762,0.006289292,0.005974827
20,1,1,2,1,0.004384615,0.95,0.955974698,0.00025641,1.400241692,4.30021674,0.009042732,0.005974835,0.009522023,146.6702106,161,0.010023183,0.006289156,0.005974698
